customer_id,category,spend,income_group,adjusted_income,spend_per_month,income_utilization_pct,utilization_group
ATQCUS0031,Entertainment,23962,Low,18830,1996.83,10.6,Very High
ATQCUS0032,Entertainment,20968,Low,17388,1747.33,10.05,Very High
ATQCUS0033,Entertainment,20572,Low,17728,1714.33,9.67,Very High
ATQCUS0034,Entertainment,21811,Low,17204,1817.58,10.56,Very High
ATQCUS0035,Entertainment,25042,Low,19115,2086.83,10.92,Very High
ATQCUS0036,Entertainment,21589,Low,18048,1799.08,9.97,Very High
ATQCUS0037,Entertainment,24096,Low,27416,2008.0,7.32,High
ATQCUS0038,Entertainment,23286,Low,26644,1940.5,7.28,High
ATQCUS0039,Entertainment,22963,Low,26110,1913.58,7.33,High
ATQCUS0040,Entertainment,21782,Low,25972,1815.17,6.99,High
ATQCUS0041,Entertainment,38741,Low,31626,3228.42,10.21,Very High
ATQCUS0042,Entertainment,46568,Low,33320,3880.67,11.65,Very High
ATQCUS0043,Entertainment,39062,Low,30382,3255.17,10.71,Very High
ATQCUS0044,Entertainment,43799,Low,33704,3649.92,10.83,Very High
ATQCUS0045,Entertainment,37854,Low,34022,3154.5,9.27,Very High
ATQCUS0046,Entertainment,41947,Low,31963,3495.58,10.94,Very High
ATQCUS0047,Entertainment,38408,Low,31368,3200.67,10.2,Very High
ATQCUS0048,Entertainment,37899,Low,31604,3158.25,9.99,Very High
ATQCUS0049,Entertainment,23566,Low,20242,1963.83,9.7,Very High
ATQCUS0050,Entertainment,23593,Low,21180,1966.08,9.28,Very High
ATQCUS0051,Entertainment,22271,Low,18779,1855.92,9.88,Very High
ATQCUS0052,Entertainment,28179,Low,37422,2348.25,6.28,Low
ATQCUS0053,Entertainment,27687,Low,35457,2307.25,6.51,Low
ATQCUS0054,Entertainment,24886,Low,35376,2073.83,5.86,Low
ATQCUS0055,Entertainment,23817,Low,34135,1984.75,5.81,Low
ATQCUS0056,Entertainment,27330,Low,35046,2277.5,6.5,Low
ATQCUS0057,Entertainment,19238,Low,17076,1603.17,9.39,Very High
ATQCUS0058,Entertainment,18059,Low,17610,1504.92,8.55,High
ATQCUS0059,Entertainment,18185,Low,17055,1515.42,8.89,High
ATQCUS0060,Entertainment,19698,Low,26470,1641.5,6.2,Low
ATQCUS0061,Entertainment,19502,Low,28094,1625.17,5.78,Low
ATQCUS0062,Entertainment,19809,Low,25910,1650.75,6.37,Low
ATQCUS0063,Entertainment,40756,Low,31992,3396.33,10.62,Very High
ATQCUS0064,Entertainment,36519,Low,32115,3043.25,9.48,Very High
ATQCUS0065,Entertainment,42139,Low,32465,3511.58,10.82,Very High
ATQCUS0066,Entertainment,32136,Low,31821,2678.0,8.42,High
ATQCUS0067,Entertainment,38873,Low,32110,3239.42,10.09,Very High
ATQCUS0068,Entertainment,41386,Low,32818,3448.83,10.51,Very High
ATQCUS0069,Entertainment,34944,Low,31170,2912.0,9.34,Very High
ATQCUS0070,Entertainment,18495,Low,19963,1541.25,7.72,High
ATQCUS0071,Entertainment,19590,Low,19864,1632.5,8.22,High
ATQCUS0072,Entertainment,21469,Low,21439,1789.08,8.34,High
ATQCUS0073,Entertainment,19836,Low,20115,1653.0,8.22,High
ATQCUS0074,Entertainment,29957,Low,37514,2496.42,6.65,Low
ATQCUS0075,Entertainment,25212,Low,33032,2101.0,6.36,Low
ATQCUS0076,Entertainment,28314,Low,35163,2359.5,6.71,Low
ATQCUS0077,Entertainment,24920,Low,38312,2076.67,5.42,Low
ATQCUS0078,Entertainment,18588,Low,17530,1549.0,8.84,High
ATQCUS0079,Entertainment,18477,Low,19086,1539.75,8.07,High
ATQCUS0080,Entertainment,17927,Low,17959,1493.92,8.32,High
ATQCUS0081,Entertainment,18433,Low,17750,1536.08,8.65,High
ATQCUS0082,Entertainment,18067,Low,16867,1505.58,8.93,High
ATQCUS0083,Entertainment,17448,Low,19184,1454.0,7.58,High
ATQCUS0084,Entertainment,18739,Low,18073,1561.58,8.64,High
ATQCUS0085,Entertainment,17928,Low,27904,1494.0,5.35,Low
ATQCUS0086,Entertainment,21509,Low,28061,1792.42,6.39,Low
ATQCUS0087,Entertainment,29297,Low,33278,2441.42,7.34,High
ATQCUS0088,Entertainment,25722,Low,31136,2143.5,6.88,Low
ATQCUS0089,Entertainment,30130,Low,32077,2510.83,7.83,High
ATQCUS0090,Entertainment,23641,Low,30145,1970.08,6.54,Low
ATQCUS0091,Entertainment,28017,Low,33156,2334.75,7.04,High
ATQCUS0092,Entertainment,25210,Low,31136,2100.83,6.75,Low
ATQCUS0093,Entertainment,12108,Low,19620,1009.0,5.14,Very Low
ATQCUS0094,Entertainment,14474,Low,20702,1206.17,5.83,Low
ATQCUS0095,Entertainment,12895,Low,19496,1074.58,5.51,Low
ATQCUS0096,Entertainment,13620,Low,20390,1135.0,5.57,Low
ATQCUS0097,Entertainment,13746,Low,20503,1145.5,5.59,Low
ATQCUS0098,Entertainment,12194,Low,19353,1016.17,5.25,Very Low
ATQCUS0099,Entertainment,21456,Low,35224,1788.0,5.08,Very Low
ATQCUS0100,Entertainment,22399,Low,38236,1866.58,4.88,Very Low
ATQCUS0101,Entertainment,18459,Low,35306,1538.25,4.36,Very Low
ATQCUS0102,Entertainment,11445,Low,16772,953.75,5.69,Low
ATQCUS0103,Entertainment,13768,Low,17622,1147.33,6.51,Low
ATQCUS0104,Entertainment,13519,Low,18234,1126.58,6.18,Low
ATQCUS0105,Entertainment,12298,Low,26266,1024.83,3.9,Very Low
ATQCUS0106,Entertainment,13411,Low,27004,1117.58,4.14,Very Low
ATQCUS0107,Entertainment,12444,Low,26077,1037.0,3.98,Very Low
ATQCUS0108,Entertainment,27468,Low,30622,2289.0,7.48,High
ATQCUS0109,Entertainment,25838,Low,30974,2153.17,6.95,High
ATQCUS0110,Entertainment,30627,Low,31250,2552.25,8.17,High
ATQCUS0111,Entertainment,31160,Low,31168,2596.67,8.33,High
ATQCUS0112,Entertainment,25905,Low,30958,2158.75,6.97,High
ATQCUS0113,Entertainment,14028,Low,19114,1169.0,6.12,Low
ATQCUS0114,Entertainment,15073,Low,19105,1256.08,6.57,Low
ATQCUS0115,Entertainment,16385,Low,20672,1365.42,6.61,Low
ATQCUS0116,Entertainment,22334,Low,34604,1861.17,5.38,Low
ATQCUS0117,Entertainment,23995,Low,37592,1999.58,5.32,Very Low
ATQCUS0118,Entertainment,22107,Low,38070,1842.25,4.84,Very Low
ATQCUS0119,Entertainment,17643,Low,19287,1470.25,7.62,High
ATQCUS0120,Entertainment,16248,Low,17858,1354.0,7.58,High
ATQCUS0121,Entertainment,15001,Low,17761,1250.08,7.04,High
ATQCUS0122,Entertainment,14753,Low,26206,1229.42,4.69,Very Low
ATQCUS0123,Entertainment,15621,Low,26302,1301.75,4.95,Very Low
ATQCUS0124,Bills,65791,High,40006,5482.58,13.7,Very High
ATQCUS0125,Bills,65706,High,41384,5475.5,13.23,Very High
ATQCUS0126,Bills,67611,High,41143,5634.25,13.69,Very High
ATQCUS0127,Bills,57837,High,40924,4819.75,11.78,Very High
ATQCUS0128,Bills,72548,High,43192,6045.67,14.0,Very High
ATQCUS0129,Bills,63185,High,41732,5265.42,12.62,Very High
ATQCUS0130,Bills,61687,High,39343,5140.58,13.07,Very High
ATQCUS0131,Bills,56615,High,39679,4717.92,11.89,Very High
ATQCUS0132,Bills,64098,High,40400,5341.5,13.22,Very High
ATQCUS0133,Bills,63823,High,42366,5318.58,12.55,Very High
ATQCUS0134,Bills,56642,High,40281,4720.17,11.72,Very High
ATQCUS0135,Bills,66042,High,42028,5503.5,13.09,Very High
ATQCUS0136,Bills,67262,High,43310,5605.17,12.94,Very High
ATQCUS0137,Bills,69003,High,41650,5750.25,13.81,Very High
ATQCUS0138,Bills,63597,High,43419,5299.75,12.21,Very High
ATQCUS0139,Bills,54896,High,42112,4574.67,10.86,Very High
ATQCUS0140,Bills,59312,High,42206,4942.67,11.71,Very High
ATQCUS0141,Bills,56995,High,39456,4749.58,12.04,Very High
ATQCUS0142,Bills,62694,High,40394,5224.5,12.93,Very High
ATQCUS0143,Bills,69019,High,43277,5751.58,13.29,Very High
ATQCUS0144,Bills,66234,High,39946,5519.5,13.82,Very High
ATQCUS0145,Bills,65204,High,41913,5433.67,12.96,Very High
ATQCUS0146,Bills,64768,High,41754,5397.33,12.93,Very High
ATQCUS0147,Bills,56324,High,40690,4693.67,11.54,Very High
ATQCUS0148,Bills,65260,High,42219,5438.33,12.88,Very High
ATQCUS0149,Bills,63748,High,40197,5312.33,13.22,Very High
ATQCUS0150,Bills,64411,High,41419,5367.58,12.96,Very High
ATQCUS0151,Bills,66210,High,43850,5517.5,12.58,Very High
ATQCUS0152,Bills,69484,High,41416,5790.33,13.98,Very High
ATQCUS0153,Bills,63214,High,42757,5267.83,12.32,Very High
ATQCUS0154,Groceries,55231,High,40944,4602.58,11.24,Very High
ATQCUS0155,Bills,65862,High,40920,5488.5,13.41,Very High
ATQCUS0156,Bills,59407,High,42041,4950.58,11.78,Very High
ATQCUS0157,Bills,61992,High,40370,5166.0,12.8,Very High
ATQCUS0158,Bills,66895,High,41734,5574.58,13.36,Very High
ATQCUS0159,Bills,62686,High,40300,5223.83,12.96,Very High
ATQCUS0160,Bills,56233,High,42429,4686.08,11.04,Very High
ATQCUS0161,Bills,60831,High,41036,5069.25,12.35,Very High
ATQCUS0162,Bills,62461,High,39413,5205.08,13.21,Very High
ATQCUS0163,Bills,60649,High,39038,5054.08,12.95,Very High
ATQCUS0164,Bills,62861,High,42418,5238.42,12.35,Very High
ATQCUS0165,Bills,59750,High,41313,4979.17,12.05,Very High
ATQCUS0166,Bills,62822,High,39157,5235.17,13.37,Very High
ATQCUS0167,Bills,60729,High,39102,5060.75,12.94,Very High
ATQCUS0168,Bills,64092,High,41666,5341.0,12.82,Very High
ATQCUS0169,Groceries,58108,High,40974,4842.33,11.82,Very High
ATQCUS0170,Bills,67063,High,42664,5588.58,13.1,Very High
ATQCUS0171,Bills,60637,High,42202,5053.08,11.97,Very High
ATQCUS0172,Bills,63090,High,41682,5257.5,12.61,Very High
ATQCUS0173,Bills,32518,Low,25634,2709.83,10.57,Very High
ATQCUS0174,Bills,34905,Low,26881,2908.75,10.82,Very High
ATQCUS0175,Bills,34969,Low,26528,2914.08,10.98,Very High
ATQCUS0176,Bills,28996,Low,23910,2416.33,10.11,Very High
ATQCUS0177,Bills,34245,Low,27060,2853.75,10.55,Very High
ATQCUS0178,Bills,33201,Low,26524,2766.75,10.43,Very High
ATQCUS0179,Bills,33056,Low,26788,2754.67,10.28,Very High
ATQCUS0180,Bills,27721,Low,25185,2310.08,9.17,Very High
ATQCUS0181,Bills,26998,Low,24629,2249.83,9.13,Very High
ATQCUS0182,Bills,26822,Low,24275,2235.17,9.21,Very High
ATQCUS0183,Bills,34155,Low,25903,2846.25,10.99,Very High
ATQCUS0184,Bills,29916,Low,26712,2493.0,9.33,Very High
ATQCUS0185,Bills,34927,Low,25516,2910.58,11.41,Very High
ATQCUS0186,Bills,31343,Low,26709,2611.92,9.78,Very High
ATQCUS0187,Bills,27767,Low,26200,2313.92,8.83,High
ATQCUS0188,Bills,34812,Low,25204,2901.0,11.51,Very High
ATQCUS0189,Bills,32948,Low,26062,2745.67,10.54,Very High
ATQCUS0190,Bills,33207,Low,27170,2767.25,10.18,Very High
ATQCUS0191,Bills,32523,Low,27002,2710.25,10.04,Very High
ATQCUS0192,Bills,36997,Low,25282,3083.08,12.19,Very High
ATQCUS0193,Bills,32400,Low,25288,2700.0,10.68,Very High
ATQCUS0194,Bills,34209,Low,25956,2850.75,10.98,Very High
ATQCUS0195,Bills,34444,Low,26101,2870.33,11.0,Very High
ATQCUS0196,Bills,33829,Low,25677,2819.08,10.98,Very High
ATQCUS0197,Bills,31552,Low,25284,2629.33,10.4,Very High
ATQCUS0198,Bills,30938,Low,25652,2578.17,10.05,Very High
ATQCUS0199,Bills,30910,Low,25264,2575.83,10.2,Very High
ATQCUS0200,Bills,29923,Low,24145,2493.58,10.33,Very High
ATQCUS0201,Bills,32258,Low,25598,2688.17,10.5,Very High
ATQCUS0202,Bills,29827,Low,26636,2485.58,9.33,Very High
ATQCUS0203,Bills,29588,Low,25495,2465.67,9.67,Very High
ATQCUS0204,Groceries,29859,Low,26668,2488.25,9.33,Very High
ATQCUS0205,Bills,31304,Low,25984,2608.67,10.04,Very High
ATQCUS0206,Bills,32925,Low,26714,2743.75,10.27,Very High
ATQCUS0207,Bills,31785,Low,26926,2648.75,9.84,Very High
ATQCUS0208,Bills,33632,Low,25972,2802.67,10.79,Very High
ATQCUS0209,Bills,31928,Low,25890,2660.67,10.28,Very High
ATQCUS0210,Bills,33223,Low,24975,2768.58,11.09,Very High
ATQCUS0211,Bills,44483,High,46163,3706.92,8.03,High
ATQCUS0212,Bills,45983,High,46056,3831.92,8.32,High
ATQCUS0213,Bills,44155,High,44254,3679.58,8.31,High
ATQCUS0214,Bills,47870,High,47104,3989.17,8.47,High
ATQCUS0215,Bills,43817,High,46205,3651.42,7.9,High
ATQCUS0216,Bills,44269,High,48260,3689.08,7.64,High
ATQCUS0217,Bills,42860,High,45692,3571.67,7.82,High
ATQCUS0218,Bills,39405,High,43961,3283.75,7.47,High
ATQCUS0219,Bills,48260,High,46684,4021.67,8.61,High
ATQCUS0220,Bills,48903,High,47790,4075.25,8.53,High
ATQCUS0221,Bills,41202,High,44372,3433.5,7.74,High
ATQCUS0222,Bills,38148,High,45318,3179.0,7.01,High
ATQCUS0223,Bills,44021,High,44929,3668.42,8.16,High
ATQCUS0224,Bills,34631,High,42777,2885.92,6.75,Low
ATQCUS0225,Bills,46790,High,46314,3899.17,8.42,High
ATQCUS0226,Bills,45285,High,46607,3773.75,8.1,High
ATQCUS0227,Bills,44627,High,44638,3718.92,8.33,High
ATQCUS0228,Bills,40035,High,47308,3336.25,7.05,High
ATQCUS0229,Bills,50184,High,48123,4182.0,8.69,High
ATQCUS0230,Bills,41337,High,43156,3444.75,7.98,High
ATQCUS0231,Bills,46381,High,45144,3865.08,8.56,High
ATQCUS0232,Bills,44644,High,45642,3720.33,8.15,High
ATQCUS0233,Bills,40723,High,46764,3393.58,7.26,High
ATQCUS0234,Bills,45118,High,46585,3759.83,8.07,High
ATQCUS0235,Bills,47779,High,46522,3981.58,8.56,High
ATQCUS0236,Bills,45062,High,44270,3755.17,8.48,High
ATQCUS0237,Bills,37465,High,44010,3122.08,7.09,High
ATQCUS0238,Bills,47785,High,47828,3982.08,8.33,High
ATQCUS0239,Bills,36297,High,44274,3024.75,6.83,Low
ATQCUS0240,Bills,45231,High,48606,3769.25,7.75,High
ATQCUS0241,Bills,40385,High,42598,3365.42,7.9,High
ATQCUS0242,Bills,43893,High,47836,3657.75,7.65,High
ATQCUS0243,Bills,45844,High,46055,3820.33,8.3,High
ATQCUS0244,Bills,40309,High,45290,3359.08,7.42,High
ATQCUS0245,Bills,43998,High,44198,3666.5,8.3,High
ATQCUS0246,Bills,40160,High,45542,3346.67,7.35,High
ATQCUS0247,Bills,44872,High,46678,3739.33,8.01,High
ATQCUS0248,Bills,45244,High,45606,3770.33,8.27,High
ATQCUS0249,Bills,41069,High,44658,3422.42,7.66,High
ATQCUS0250,Bills,44238,High,44178,3686.5,8.34,High
ATQCUS0251,Bills,50740,High,48770,4228.33,8.67,High
ATQCUS0252,Bills,29874,Low,23330,2489.5,10.67,Very High
ATQCUS0253,Bills,27971,Low,23795,2330.92,9.8,Very High
ATQCUS0254,Bills,30931,Low,24031,2577.58,10.73,Very High
ATQCUS0255,Bills,29877,Low,22369,2489.75,11.13,Very High
ATQCUS0256,Bills,32557,Low,22552,2713.08,12.03,Very High
ATQCUS0257,Bills,30754,Low,24051,2562.83,10.66,Very High
ATQCUS0258,Bills,27163,Low,22495,2263.58,10.06,Very High
ATQCUS0259,Bills,25357,Low,22024,2113.08,9.59,Very High
ATQCUS0260,Bills,33547,Low,23836,2795.58,11.73,Very High
ATQCUS0261,Bills,29083,Low,22238,2423.58,10.9,Very High
ATQCUS0262,Bills,30356,Low,23663,2529.67,10.69,Very High
ATQCUS0263,Bills,29893,Low,22558,2491.08,11.04,Very High
ATQCUS0264,Bills,27201,Low,21885,2266.75,10.36,Very High
ATQCUS0265,Bills,34595,Low,23370,2882.92,12.34,Very High
ATQCUS0266,Bills,31441,Low,23162,2620.08,11.31,Very High
ATQCUS0267,Bills,29752,Low,22990,2479.33,10.78,Very High
ATQCUS0268,Bills,27615,Low,24884,2301.25,9.25,Very High
ATQCUS0269,Bills,32536,Low,22144,2711.33,12.24,Very High
ATQCUS0270,Bills,24738,Low,22392,2061.5,9.21,Very High
ATQCUS0271,Bills,31357,Low,23358,2613.08,11.19,Very High
ATQCUS0272,Groceries,30025,Low,23356,2502.08,10.71,Very High
ATQCUS0273,Bills,29285,Low,24154,2440.42,10.1,Very High
ATQCUS0274,Bills,29147,Low,24506,2428.92,9.91,Very High
ATQCUS0275,Bills,33730,Low,23975,2810.83,11.72,Very High
ATQCUS0276,Bills,27736,Low,24265,2311.33,9.53,Very High
ATQCUS0277,Bills,32054,Low,23784,2671.17,11.23,Very High
ATQCUS0278,Bills,32055,Low,23778,2671.25,11.23,Very High
ATQCUS0279,Bills,31145,Low,22690,2595.42,11.44,Very High
ATQCUS0280,Bills,27730,Low,23852,2310.83,9.69,Very High
ATQCUS0281,Bills,31356,Low,23240,2613.0,11.24,Very High
ATQCUS0282,Bills,29890,Low,23314,2490.83,10.68,Very High
ATQCUS0283,Bills,28340,Low,23092,2361.67,10.23,Very High
ATQCUS0284,Bills,26147,Low,21452,2178.92,10.16,Very High
ATQCUS0285,Bills,26860,Low,22245,2238.33,10.06,Very High
ATQCUS0286,Bills,28881,Low,22702,2406.75,10.6,Very High
ATQCUS0287,Bills,34860,Low,23547,2905.0,12.34,Very High
ATQCUS0288,Bills,30164,Low,24130,2513.67,10.42,Very High
ATQCUS0289,Bills,32951,Low,22226,2745.92,12.35,Very High
ATQCUS0290,Bills,33293,Low,24306,2774.42,11.41,Very High
ATQCUS0291,Bills,29402,Low,23415,2450.17,10.46,Very High
ATQCUS0292,Bills,28561,Low,23047,2380.08,10.33,Very High
ATQCUS0293,Bills,29140,Low,34180,2428.33,7.1,High
ATQCUS0294,Bills,30742,Low,36228,2561.83,7.07,High
ATQCUS0295,Bills,27996,Low,34376,2333.0,6.79,Low
ATQCUS0296,Bills,30139,Low,33119,2511.58,7.58,High
ATQCUS0297,Bills,31245,Low,35150,2603.75,7.41,High
ATQCUS0298,Bills,30238,Low,34993,2519.83,7.2,High
ATQCUS0299,Bills,27825,Low,34144,2318.75,6.79,Low
ATQCUS0300,Bills,29420,Low,36081,2451.67,6.79,Low
ATQCUS0301,Bills,30290,Low,34562,2524.17,7.3,High
ATQCUS0302,Bills,31173,Low,35302,2597.75,7.36,High
ATQCUS0303,Bills,29421,Low,35176,2451.75,6.97,High
ATQCUS0304,Bills,34891,Low,34740,2907.58,8.37,High
ATQCUS0305,Bills,27914,Low,33523,2326.17,6.94,High
ATQCUS0306,Bills,31194,Low,34948,2599.5,7.44,High
ATQCUS0307,Bills,31387,Low,35300,2615.58,7.41,High
ATQCUS0308,Bills,32565,Low,36686,2713.75,7.4,High
ATQCUS0309,Bills,32257,Low,36319,2688.08,7.4,High
ATQCUS0310,Bills,28990,Low,33489,2415.83,7.21,High
ATQCUS0311,Bills,30022,Low,34173,2501.83,7.32,High
ATQCUS0312,Bills,32058,Low,34206,2671.5,7.81,High
ATQCUS0313,Bills,30566,Low,35869,2547.17,7.1,High
ATQCUS0314,Bills,29086,Low,33722,2423.83,7.19,High
ATQCUS0315,Bills,29402,Low,36690,2450.17,6.68,Low
ATQCUS0316,Bills,57553,High,41433,4796.08,11.58,Very High
ATQCUS0317,Bills,59495,High,43342,4957.92,11.44,Very High
ATQCUS0318,Bills,47824,High,41252,3985.33,9.66,Very High
ATQCUS0319,Bills,65852,High,44410,5487.67,12.36,Very High
ATQCUS0320,Bills,54371,High,40421,4530.92,11.21,Very High
ATQCUS0321,Bills,51962,High,42072,4330.17,10.29,Very High
ATQCUS0322,Bills,57096,High,39652,4758.0,12.0,Very High
ATQCUS0323,Bills,52997,High,40073,4416.42,11.02,Very High
ATQCUS0324,Bills,47887,High,40358,3990.58,9.89,Very High
ATQCUS0325,Bills,63177,High,40657,5264.75,12.95,Very High
ATQCUS0326,Bills,51789,High,39460,4315.75,10.94,Very High
ATQCUS0327,Bills,60805,High,42411,5067.08,11.95,Very High
ATQCUS0328,Bills,54832,High,40594,4569.33,11.26,Very High
ATQCUS0329,Bills,58049,High,43166,4837.42,11.21,Very High
ATQCUS0330,Bills,53951,High,40218,4495.92,11.18,Very High
ATQCUS0331,Bills,54315,High,42658,4526.25,10.61,Very High
ATQCUS0332,Bills,58767,High,40836,4897.25,11.99,Very High
ATQCUS0333,Bills,55914,High,40186,4659.5,11.59,Very High
ATQCUS0334,Bills,50856,High,41993,4238.0,10.09,Very High
ATQCUS0335,Bills,63539,High,43345,5294.92,12.22,Very High
ATQCUS0336,Bills,61260,High,41553,5105.0,12.29,Very High
ATQCUS0337,Bills,55457,High,40073,4621.42,11.53,Very High
ATQCUS0338,Groceries,54235,High,43182,4519.58,10.47,Very High
ATQCUS0339,Bills,57419,High,42044,4784.92,11.38,Very High
ATQCUS0340,Bills,59186,High,43532,4932.17,11.33,Very High
ATQCUS0341,Bills,57005,High,40695,4750.42,11.67,Very High
ATQCUS0342,Bills,52469,High,40320,4372.42,10.84,Very High
ATQCUS0343,Bills,54098,High,43188,4508.17,10.44,Very High
ATQCUS0344,Bills,57419,High,40388,4784.92,11.85,Very High
ATQCUS0345,Bills,66107,High,43811,5508.92,12.57,Very High
ATQCUS0346,Bills,57502,High,42676,4791.83,11.23,Very High
ATQCUS0347,Bills,57430,High,41459,4785.83,11.54,Very High
ATQCUS0348,Bills,55676,High,43248,4639.67,10.73,Very High
ATQCUS0349,Bills,56321,High,41946,4693.42,11.19,Very High
ATQCUS0350,Bills,53317,High,42003,4443.08,10.58,Very High
ATQCUS0351,Bills,53865,High,40909,4488.75,10.97,Very High
ATQCUS0352,Groceries,59634,High,41611,4969.5,11.94,Very High
ATQCUS0353,Bills,56365,High,41317,4697.08,11.37,Very High
ATQCUS0354,Bills,68634,High,43148,5719.5,13.26,Very High
ATQCUS0355,Bills,48909,High,39655,4075.75,10.28,Very High
ATQCUS0356,Bills,49879,High,39947,4156.58,10.41,Very High
ATQCUS0357,Bills,53738,High,40577,4478.17,11.04,Very High
ATQCUS0358,Bills,51329,High,40145,4277.42,10.65,Very High
ATQCUS0359,Bills,55362,High,42074,4613.5,10.97,Very High
ATQCUS0360,Bills,59420,High,42894,4951.67,11.54,Very High
ATQCUS0361,Bills,29687,Low,25052,2473.92,9.88,Very High
ATQCUS0362,Bills,28803,Low,26050,2400.25,9.21,Very High
ATQCUS0363,Bills,30170,Low,27092,2514.17,9.28,Very High
ATQCUS0364,Bills,30492,Low,25318,2541.0,10.04,Very High
ATQCUS0365,Bills,27596,Low,26728,2299.67,8.6,High
ATQCUS0366,Bills,30992,Low,27359,2582.67,9.44,Very High
ATQCUS0367,Bills,26456,Low,24426,2204.67,9.03,Very High
ATQCUS0368,Bills,30624,Low,26595,2552.0,9.6,Very High
ATQCUS0369,Bills,29361,Low,26694,2446.75,9.17,Very High
ATQCUS0370,Bills,28400,Low,25765,2366.67,9.19,Very High
ATQCUS0371,Bills,30107,Low,26118,2508.92,9.61,Very High
ATQCUS0372,Bills,26146,Low,25653,2178.83,8.49,High
ATQCUS0373,Bills,26718,Low,24295,2226.5,9.16,Very High
ATQCUS0374,Bills,30118,Low,25339,2509.83,9.91,Very High
ATQCUS0375,Bills,30462,Low,27302,2538.5,9.3,Very High
ATQCUS0376,Bills,33440,Low,25209,2786.67,11.05,Very High
ATQCUS0377,Bills,30180,Low,25082,2515.0,10.03,Very High
ATQCUS0378,Bills,27412,Low,24156,2284.33,9.46,Very High
ATQCUS0379,Bills,29271,Low,26396,2439.25,9.24,Very High
ATQCUS0380,Bills,30968,Low,26619,2580.67,9.69,Very High
ATQCUS0381,Bills,29441,Low,25846,2453.42,9.49,Very High
ATQCUS0382,Bills,29598,Low,26554,2466.5,9.29,Very High
ATQCUS0383,Bills,25455,Low,25099,2121.25,8.45,High
ATQCUS0384,Bills,32939,Low,25972,2744.92,10.57,Very High
ATQCUS0385,Bills,29925,Low,24756,2493.75,10.07,Very High
ATQCUS0386,Bills,25851,Low,25014,2154.25,8.61,High
ATQCUS0387,Bills,27968,Low,25674,2330.67,9.08,Very High
ATQCUS0388,Bills,28887,Low,25713,2407.25,9.36,Very High
ATQCUS0389,Bills,27592,Low,25082,2299.33,9.17,Very High
ATQCUS0390,Bills,31041,Low,24922,2586.75,10.38,Very High
ATQCUS0391,Bills,48519,High,47645,4043.25,8.49,High
ATQCUS0392,Bills,40426,High,47570,3368.83,7.08,High
ATQCUS0393,Bills,42536,High,48124,3544.67,7.37,High
ATQCUS0394,Bills,43933,High,44956,3661.08,8.14,High
ATQCUS0395,Bills,44205,High,45508,3683.75,8.09,High
ATQCUS0396,Bills,37192,High,43711,3099.33,7.09,High
ATQCUS0397,Bills,39439,High,43982,3286.58,7.47,High
ATQCUS0398,Bills,43771,High,45868,3647.58,7.95,High
ATQCUS0399,Bills,35798,High,44773,2983.17,6.66,Low
ATQCUS0400,Bills,42601,High,46558,3550.08,7.63,High
ATQCUS0401,Bills,41168,High,46559,3430.67,7.37,High
